        kata       rags	days-old
will rm 90FDA61A79 145	113
will rm 752B1B62DC 146	432
will rm 0470B54FEE 146	108
will rm 5B7B18D4DB 147	139
will rm CD165A51A1 147	189
will rm FA699FEE86 148	178
will rm 1FA99B4B31 149	235
will rm D7D92CCE2E 149	218
will rm A7B8591F67 149	366
will rm 44D03A9457 149	455
will rm 90756E5049 150	202
will rm 7DB8BF410B 151	55
will rm 012D85F970 152	357
will rm 8D4CAB796C 152	298
will rm A49CBBBA7E 152	365
will rm 7C4ECE2F97 155	475
will rm 765DC20C03 155	235
will rm DA3053A3B0 155	258
will rm EF67F0255D 155	295
will rm A3796378D6 155	326
will rm 767B4BF188 157	455
will rm B68B30041A 157	197
will rm E93E7F6D31 159	358
will rm 5BCC19F926 159	286
will rm B3BE012BDD 159	252
will rm 5248D6D692 159	431
will rm C5C461F139 160	285
will rm 9BF9E91CA6 160	410
will rm 926C536F00 160	446
will rm 4AB8993C8A 162	357
will rm 31010FAC13 162	432
will rm A795A91D60 162	34
will rm EDD1DA3F28 163	100
will rm B62F22AF97 163	180
will rm B3E8AB91C5 165	88
will rm AB059D0F3A 165	463
will rm 17FE94ED88 165	71
will rm 06BCF00143 168	389
will rm B049D57F40 168	238
will rm 6199851BFB 169	119
will rm 31FF318CBC 169	355
will rm 285CC34A62 169	197
will rm 020C7A534E 170	166
will rm 569445F0C9 170	175
will rm 01E83952F2 171	80
will rm DF4E84AA11 171	161
will rm AB3930F6A6 171	86
will rm 38782BC1DE 175	434
will rm 733DB3B6BA 176	388
will rm 352AE5D5DA 176	265
will rm 3E6AC04BE4 177	140
will rm E3110C95BC 177	309
will rm 7C90018D3D 178	283
will rm 5C28D59D5D 182	49
will rm B95E1BC489 183	357
will rm A4D84D3F85 184	452
will rm F925A69114 185	344
will rm 8C49111750 185	359
will rm 58C314AAC7 187	169
will rm CC54E95D59 187	469
will rm C38077DFA7 188	151
will rm F8C5224B65 188	299
will rm 5626BB32CC 188	52
will rm F74FB100A7 189	251
will rm 37310EB4BF 191	198
will rm 788E2E6314 192	95
will rm A5F52E012F 192	292
will rm 4D48CAA45B 192	34
will rm 16FB4608D2 194	68
will rm 6A86C3D197 196	281
will rm 1084AE6C1E 196	266
will rm 3A71BF53A8 196	356
will rm E6F1093367 198	294
will rm A0FCF4CCBF 199	252
will rm 9F909DB895 199	464
will rm 6880A2C2C6 201	270
will rm 166EBB720D 202	281
will rm 3B9AAE87CE 204	445
will rm 2698986D99 205	383
will rm 811F03BF07 211	273
will rm 02C3C4404C 211	433
will rm 759DD2F5D2 211	139
will rm 8460D2AD01 213	349
will rm 5E5EE68F76 213	420
will rm 640D2D3F3F 215	177
will rm FA9AC62AE8 216	389
will rm 73085AB462 216	22
will rm 2A057EF635 217	181
will rm F634304F2D 217	35
will rm 5511BC85CD 217	362
will rm DC35DC68C6 218	348
will rm FCA0DE27E1 221	39
will rm 36743F89A2 221	128
will rm 68721DC61F 223	138
will rm FEE807BF15 223	461
will rm 8FF4050FAA 224	399
will rm D2A9A2C979 224	19
will rm F4E2DCE567 226	105
will rm 51800278CC 227	51
will rm 5D274A1A1D 229	385
will rm B6AF064839 230	299
will rm F80F90DE43 232	270
will rm E641CC7EBE 233	362
will rm 9CEE5A982D 233	288
will rm B08E9A65C4 235	74
will rm FE2F13E4F5 236	307
will rm 6E029281DE 237	293
will rm 45D6C3ED15 238	174
will rm D4ABE189BF 238	468
will rm F8C0EF9551 239	388
will rm C4CE1A9F6C 241	56
will rm 3E57514FAA 241	203
will rm 1DD31C5EC2 243	288
will rm 5AF7B07273 243	349
will rm CB38B6D75B 247	106
will rm A6CC86502A 247	415
will rm E2EE75EC14 249	356
will rm 6C69D6AF58 255	285
will rm 644872C135 261	247
will rm 21BA4E99F0 261	337
will rm 3E1A910E56 262	309
will rm DB843B2C9B 267	98
will rm BB91EF8A6C 268	455
will rm 50749E1B04 268	369
will rm D2698CF805 269	251
will rm 41E848C8DD 270	177
will rm B8C8E847EB 270	294
will rm 56CEEDC74B 273	477
will rm 004CD751C7 275	366
will rm 5F93455F4A 276	275
will rm 5402039332 283	340
will rm E5107CCDAB 285	179
will rm 50BD6F4AA3 287	23
will rm 96784567D3 294	153
will rm C5D2DBB720 295	63
will rm 438C797AD8 298	99
will rm F389E3BE37 298	478
will rm AD6D0359C7 304	160
will rm 802C0E838A 308	270
will rm 018ED631A4 311	25
will rm 3FA1F811F0 314	77
will rm 4A5C52E0F9 317	392
will rm 5B152F5448 317	347
will rm 1F7C71F81C 317	355
will rm C40461B321 323	455
will rm D130778C09 332	25
will rm B91936D0C6 332	47
will rm 9A718C26C2 349	80
will rm EF7746A5D6 355	14
will rm 8A18DF66B7 378	312
will rm ADA60775F0 380	122
will rm 94E844427D 383	441
will rm E6188DD2FF 388	113
will rm 6C424F3D26 396	419
will rm A253ABFAA2 398	378
will rm F3462D5954 399	247
will rm 486238A63B 403	106
will rm 25719C16DF 417	35
will rm DD928020F4 419	166
will rm 9DBC865374 451	249
will rm 1A0281686E 457	356
will rm 1B6D0E508A 463	404
will rm 2C665491EA 515	106
will rm F8412630D9 637	420
will rm 3424B70BFB 658	221
will rm 114AC32F04 729	345

1947 katas will be deleted
8935 katas will not be deleted
============================================
This could have pruned the refactoring dojos
Restore with
#unzip refactoring_dojos.zip
============================================
