        kata       rags	days-old
will rm 4D50CB71A3 37	391
will rm D087BD9307 37	121
will rm D82AB0B7F2 37	110
will rm 69D455DE2A 37	399
will rm B2EF02B9CF 37	61
will rm 9558467D6C 37	288
will rm A02668D16E 37	267
will rm C273E1B267 37	105
will rm 119C937FCA 37	461
will rm 89C93FD113 37	463
will rm AE130C16B3 37	235
will rm 6DDDF6DF9E 37	414
will rm BD0BF857E2 37	25
will rm 2ECEB0F6B3 37	93
will rm CA4B74A6E6 37	149
will rm E342F0727A 37	424
will rm 57685C5AE4 37	144
will rm B5E5591ACB 37	168
will rm E443DCEB94 37	107
will rm 5A75B99774 37	312
will rm 239135D895 37	155
will rm B0F487F5B2 37	57
will rm 0EB11E1921 37	154
will rm 17F12520CF 37	224
will rm 8F8AC045EB 38	322
will rm 710EE5DB59 38	373
will rm 6F9A3BB465 38	130
will rm 6E3E12BC49 38	358
will rm 42816D16E8 38	57
will rm 4AF9B0A62D 38	226
will rm 3B502435E0 38	423
will rm D6BCD46F00 38	232
will rm 5C5B71C765 38	465
will rm A9B543F454 38	305
will rm 617AA2AD95 38	132
will rm ED75D8422B 38	273
will rm 4B5A2F56D1 38	82
will rm F02577188D 38	246
will rm DF22AE35DD 38	334
will rm 68CE4E6DFD 38	471
will rm D8D16576A2 38	59
will rm 10F0E8321F 38	432
will rm 87DE97E099 38	433
will rm 22242B697C 38	90
will rm 896D102B8A 38	170
will rm 462D7EF603 38	349
will rm AE0D1BD62C 38	96
will rm CB56489D3D 38	270
will rm 0ADD85937F 38	441
will rm BDC28532A6 38	476
will rm 4511EB838A 38	102
will rm 7F43167944 38	92
will rm 9078E338E7 38	264
will rm CC98045919 38	402
will rm 54C77C53AA 38	422
will rm 43F37551D5 38	278
will rm 1DD66D362B 38	379
will rm EFF7711462 38	77
will rm 57E9D67E95 38	112
will rm 5708D5F839 38	447
will rm A2D9E44727 38	124
will rm 2F878D93BD 38	307
will rm 568C65C4D0 38	145
will rm 0E956B6934 38	64
will rm 7E0F4EE6FC 38	337
will rm 655FE85A19 38	412
will rm 9D31A944CE 38	60
will rm 2BE92154BE 39	435
will rm 4ACEEC6244 39	470
will rm EB5F181242 39	82
will rm E682B1414E 39	363
will rm 6C035D8326 39	176
will rm C0077DC225 39	253
will rm BEF6F29665 39	407
will rm 479D87F817 39	68
will rm 5EAB9B9DC8 39	344
will rm 20213D94A1 39	430
will rm F6752E39CC 39	136
will rm 6747697F98 39	324
will rm 4D2E944AB5 39	421
will rm 8386C3DC3E 39	20
will rm E77CF82D1F 39	209
will rm 7041FAEDB6 39	272
will rm A0C12A87A3 39	461
will rm 46D9CC3C9E 39	319
will rm 465B671B74 39	309
will rm C36727489B 39	274
will rm B98DA9ACC1 39	291
will rm 36E9790A36 39	410
will rm 55F113314B 39	21
will rm D57C8905B7 39	138
will rm CA02CD7CF6 39	186
will rm 63D86AA823 39	302
will rm 2D168E35A2 39	464
will rm B60D57198A 39	85
will rm B6538D9B69 39	461
will rm 217E00D3F9 39	104
will rm F5585E2AF1 39	329
will rm C564E69037 40	345
will rm 0561CC1A77 40	326
will rm 6F555AFED8 40	56
will rm 305272005D 40	120
will rm 8567EF4A97 40	400
will rm 42CADE467E 40	209
will rm EB06043D30 40	60
will rm 2429EC57FD 40	194
will rm E19D88A208 40	278
will rm 1A2C586A06 40	378
will rm B3CBEEC395 40	295
will rm D1CFA88101 40	21
will rm EA945DB71B 40	42
will rm BA23FC9F48 40	421
will rm 312F1400A7 40	377
will rm B1DFC54E22 40	74
will rm 699EC5175C 40	300
will rm 3573D84C85 40	96
will rm 07BF4149BA 40	53
will rm 97502A8152 40	122
will rm AE88F160B7 40	59
will rm CDCF71BF94 40	18
will rm B9BF295724 40	356
will rm CF04AEA0FF 40	60
will rm EF289B0071 40	144
will rm 00237F21CA 40	123
will rm F35ACA148A 40	362
will rm BF4B0DD3F8 40	74
will rm BF611EC5BE 40	25
will rm 38C94AC256 40	436
will rm A6BB2AA3D8 40	222
will rm FE84E268D7 40	453
will rm FEFD90B1F6 40	145
will rm 1EF2F51B21 40	430
will rm 56C23EA2B7 40	213
will rm 172F90605B 40	285
will rm 443F3C5AAF 40	201
will rm A3367A844D 40	95
will rm 0567D4EE31 41	78
will rm 3025D690E0 41	271
will rm 0154B62CB5 41	258
will rm 3F686D7A3E 41	92
will rm D697213F33 41	100
will rm ED03DA9DDD 41	321
will rm D11C49BB07 41	436
will rm EE916BA536 41	453
will rm 76DAC93EF3 41	514
will rm 02FC90B256 41	300
will rm 6641C3F97D 41	350
will rm 32F07C86DF 41	57
will rm FC68A94C89 41	111
will rm 7BBBC73D37 41	128
will rm 36BA8A4139 41	112
will rm 55DC7E5D6B 41	112
will rm 45B06F6F6D 41	143
will rm 90293612E9 41	326
will rm DE8F275559 41	197
will rm 9ED5DD191B 41	85
will rm 6BC703F812 41	327
will rm B5830E0095 41	58
will rm 6E81289A58 42	121
will rm DB86E46107 42	329
will rm DBFB59A059 42	464
will rm DB149059D0 42	38
will rm E646BBF3B2 42	324
will rm 746EFB9814 42	214
will rm 74E751D009 42	363
will rm 4E613F4E1D 42	144
will rm 6280A953B4 42	209
will rm 0D7615F3C1 42	61
will rm ED1716CD02 42	389
will rm 59FB2A637B 42	60
will rm EE844A7AD2 42	355
will rm EE51E01315 42	59
will rm F0F22D9DAC 42	18
will rm F00E1E71CB 42	123
will rm 682768EABF 42	59
will rm F1690195DC 42	219
will rm D8BD7080D9 42	208
will rm 752F9E2306 42	412
will rm 102BD0B1D9 42	461
will rm C2344DFACA 42	57
will rm CF70AAEFCC 42	453
will rm CF9F2FC850 42	67
will rm 7F8CC8CBD4 42	362
will rm 54DBE00B29 42	291
will rm 543D714DF5 42	31
will rm 4F79DDF70A 42	445
will rm 4FFC58C122 42	253
will rm 001FE6C4BD 42	39
will rm F374789A4B 42	383
will rm 6B92AF3D31 42	299
will rm B58F466074 42	305
will rm 27F33B8AA7 42	300
will rm B051285B9D 42	336
will rm 7EBAEC5207 42	461
will rm 821C71B55B 43	430
will rm 82F990238B 43	92
will rm 5F10F946A9 43	400
will rm 78B7C94A5A 43	25
will rm 990AB2FED9 43	441
will rm 50686D0306 43	132
will rm 81FD62ED24 43	174
